ID;Atasözü/Deyim;Anlamı;Zorluk;Kategori;Örnek;Yanlış Cevap 1;Yanlış Cevap 2;Yanlış Cevap 3
333;"Kar kuytuda, para pintide
eğleşir";Her şey, saklanabilen yerde ve saklamasını bilenin yanında bulunur.     42;2;genel;;Jetonu geç düşmek;Her ağaçtan kaşık olmaz;Lügat paralamak
334;"Kar ne kadar çok yağsa
yaza kalmaz";Elverişli bir ortamda çoğalan şeyler, ortam elverişliliğini yitirince yok olur.;2;genel;;"Biri bilmeyen bini hiç
bilmez";"Gönül bir sırça saraydır,
kırılırsa yapılmaz";Para saçmak
335;Kar susuzluk kandırmaz;Gerçek gereksinimler, avutucu, oyalayıcı şeylerle karşılanmaz.;2;genel;;Mahalleyi ayağa kaldırmak;Ne yârdan geçilir ne serden;Ömrüne ömür katmak
336;"Karaya sabun, deliye öğüt
neylesin";Özü bozuk olan şey, düzeltme çabalarıyla iyi duruma getirilemez.;2;genel;;Mum tutturmak;İçine doğmak;"Arayan Mevla’sını da bulur,
belasını da"
337;"Kardeş kardeşi atmış, yar
başına tutmuş";Kardeşler ne kadar geçimsiz olsalar da kötü bir durumda birbirlerine yardım ederler.;2;genel;;Mahalleyi ayağa kaldırmak;Öpüp başına koymak;Bal olan yerde sinek de olur
338;"Karga kekliği taklit edeyim
derken kendi yürüyüşünü
şaşırmış";Görgüsüz kişi, görgülü kişinin yaptığını yapmaya kalkışırsa beceremez, kendisinin doğal davranışını da yitirir, gülünç duruma düşer.;2;genel;;Her işte bir hayır vardır;İçtikleri su ayrı gitmemek;Kabuğuna çekilmek
339;"Karıncadan ibret al,
yazdan kışı karşılar";Kişi çalışıp kazanabildiği zamanı boş geçirmemeli, çalışamayacağı günler için geçimini sağlayacak varlık edinmelidir.;2;genel;;Teselli bulmak;Tüyleri diken diken olmak;"Çam ağacından ağıl olmaz,
el çocuğundan oğul olmaz"
340;"Karıncanın zevali gelince
kanatlanır";Kişi durumunun gereklerine aykırı taşkınlıklarda bulunursa artık düşecek demektir.     43;2;genel;;Bin tasa bir borç ödemez;Ömrü vefa etmemek;Ömür çürütmek
341;"Katrandan olmaz şeker, olsa
da cinsine çeker";Kötü soylu şey ve kişi iyiye dönmez.;2;genel;;İş insanın aynasıdır;Pireyi deve yapmak;Tozu dumana katmak
342;"Katranı kaynatsan olur mu
şeker?
Kişi, kendi özünü veya asıl
özelliklerini değiştirmiş gibi görünse
de asla değişmez.
343-Kavgada kılıç ödün vermez";Kişi, savunma silahını başkasına verip kendisini savunamayacak ve yenilgiye uğrayacak duruma düşmemelidir.;2;genel;;Ateş düştüğü yeri yakar;"Ak koyunun kara kuzusu da
olur";Sinek avlamak
344;"Kaymağı seven mandayı
yanında taşır";Sevdiği şeyden yoksun kalmak istemeyen kişi, onu sağlayacak araçları eli altında bulundurmalı ve bunun için gereken sıkıntılara katlanmalıdır.;2;genel;;Şafak atmak;Altının kıymetini sarraf bilir;Lafa tutmak
345;Kaza geliyorum demez;Kaza, beklenmedik zamanda, ansızın olur.;2;genel;;Sırra kadem basmak;"Baca eğri de olsa dumanı
doğru çıkar";Çetele tutmak
346;"Keçi kurttan kurtulsa
gergedan olur";Tehlikeler olmasa her şey alabildiğine gelişir;2;genel;;"Kork Allah’tan
korkmayandan";Açık kapı bırakmak;"Şeytana pabucu ters
giydirmek"
347;"Keçi nereye çıkarsa oğlağı
da oraya çıkar";Büyüklerin tuttuğu yol, küçüklere örnek olur.;2;genel;;Yanlış kapı çalmak;Masal okumak;Nefesini tutup beklemek
348;"Keçiye can kaygısı, kasaba
yağ kaygısı";Bir kişi kaybından dolayı kıvranırken, başkası bundan ne kadar yararlanabileceğinin hesabını yapar.     44;2;genel;;Külahını ters giydirmek;Tok açın hâlinden bilmez;Zahmetsiz rahmet olmaz
349;"Kedinin boynuna ciğer
asılmaz";Bir kimseye, kullanıp zarar vereceği, kendine mal edip ortadan kaldıracağı şey emanet edilmez.;2;genel;;Ucuz atlatmak;İğne ipliğe dönmek;"Sütten ağzı yanan ayranı
üfleyerek içer"
350;"Kedinin gideceği samanlığa
kadar";Uygunsuz iş yapan kişi, ne kadar kaçarsa kaçsın, gideceği yer bellidir, kısa zamanda yakayı ele verir.;2;genel;;"Borçlu ölmez, benzi
sararır";Tezgâhı kurmak;"Dost ağlatır, düşman
güldürür"
351;"Kedinin kanadı olsaydı
serçenin adı kalmazdı";Saldırganlar istediklerini yapabilecek durumda olsalardı, zayıfları kolaylıkla ortadan kaldırır, bol bol çıkarlarını sağlarlardı.;2;genel;;Yakasına yapışmak;"Karda gezip izini belli
etmemek";Göbeği çatlamak
352;"Kedinin usluluğu sıçan
görünceye kadar";Atılgan kişilerin sessiz ve eylemsiz durmaları, onları çileden çıkaran bir durum baş gösterince sona erer.;2;genel;;"Büyük lokma ye büyük söz
söyleme";"Pilav yiyen kaşığını
yanında taşır";İki aslan bir posta sığmaz
353;"Kediyi sıkıştırırsan üstüne
atılır";Senden çekinen, korkan kişi, çok sıkıştırırsan sana karşı gelir.;2;genel;;Para peşin, kırmızı meşin;Aslan yatağından belli olur;Gına gelmek
354;"Kenarın dilberi nazik de
olsa nazenin olmaz";Kibar çevrede yetişmemiş olanlar, ne denli özenseler kibarlığın bütün inceliklerini gösteremezler.     45;2;genel;;İki aslan bir posta sığmaz;Kabak tadı vermek;"Kaf ası kazan gibi olmak
Gürültülü şeyler dinlemekten
rahatsız olmak.
192-Kafası bozulmak"
355;Kepenek altında er yatar;İnsanları giydiğine bakarak değerlendirmek yanlışlara yol açar, değerli kişiler de bazen eski giymiş olabilir.;2;genel;;Kafasına dank etmek;"Sütten ağzı yanan ayranı
üfleyerek içer";Asıl azmaz, bal kokmaz
356;"Kes parmağını çık pazara,
merhem buyuran çok olur";Kişinin bir ihtiyaç içinde bulunduğunu gören herkes ona değişik yol gösterir.;2;genel;;İş olacağına varır;Kelleyi koltuğuna almak;İçine atmak
357;"Kır atın yanında duran ya
huyundan ya suyundan";Kişi, arkadaşlık ettiği kimseden etkilenir.;2;genel;;"Kenarın dilberi nazik de
olsa nazenin olmaz";Dört duvar arasından kalmak;Züğürt tesellisi
358;"Kısmet gökten zembille
inmez";Çalışmayanın kısmeti olmaz.;2;genel;;Eğreti ata binen tez iner;Sineye çekmek;Tezgâhı kurmak
359;"Kısmet ise gelir Hint’ten,
kısmet değilse ne gelir elden?
Tanrı bir şeyi size kısmet etmişse
o mutlaka size gelir, kısmet
etmemişse yapacak bir şey
yoktur.
360-Kırk gün taban eti, bir gün
av eti";Avcılar bir av avlayabilmek için dağ demez, taş demez, günlerce taban teperler.;2;genel;;"İğne deliğinden Hindistan’ı
seyretmek";"Çam ağacından ağıl olmaz,
el çocuğundan oğul olmaz";Tükürdüğünü yalamak
361;"Kırk yıl kıran olmuş, eceli
gelen ölür";Salgın ve öldürücü hastalık da olsa eceli gelmeyen ölmez.;2;genel;;Bir çöplükte iki horoz ötmez;"Acıkmış kudurmuştan
beterdir";Dumanı tepesinden çıkmak
362;"Kırk yıllık Kâni, olur mu
Yani";Eskimiş bir alışkanlık kolay kolay değişmez.     46;2;genel;;"Herkes gider Mersin’e, biz
gideriz tersine";"Keçi kurttan kurtulsa
gergedan olur";Sallantıda bırakmak
363;"Kırkından sonra saza
başlayan kıyamette çalar";Yaşlandıktan sonra bir şey öğrenmeye, yeni bir iş yapmaya başlayan kimsenin bunu başarmaya ömrü yetmez.;2;genel;;Tepesinde havan dövmek;Çoğu gitti, azı kaldı;"Keçi kurttan kurtulsa
gergedan olur"
364;"Kısmet gökten zembille
inmez";Kısmet durup dururken kişinin ayağına gelmez, çalışmakla elde edilir.;2;genel;;Uçan kuşa borcu olmak;Yağmasa da gürlemek;Mürüvvete endaze olmaz
365;"Kısmetinde ne varsa
kaşığına o çıkar";Kişi ne kadar çalışırsa çalışsın, çabalarsa çabalasın alın yazısındaki şeye ulaşır.;2;genel;;Gafil avlamak;Kürek kadar dili olmak;"Mal canı kazanmaz, can
malı kazanır"
366;"Kısmetsiz köpek, sabaha
karşı uyuyakalır";Tanrı kendisine kısmet vermemiş olan yaratık, yararlanılacak şeyi elde etmek kolaylaştığı zaman, başka bir işle uğraştığı için bundan yoksun kalır.;2;genel;;Altın yere düşmekle pul olmaz;Başa gelmeyince bilinmez;Al elmaya taş atan çok olur
367;"Kız kundakta, çeyiz
sandıkta";Kız daha kundakta iken çeyiz düzmeye başlamak gerekir.;2;genel;;Yaraya tuz biber ekmek;Tuttuğu dal elinde kalmak;Boyunun ölçüsünü almak
368;"Kızım sana söylüyorum,
gelinim sen anla";Herhangi birine dolaylı olarak söylenecek uyarı söz konusu olduğunda kullanılan bir söz.     47;2;genel;;Treni kaçırmak;Çorbada tuzu bulunmak;Sütüne havale etmek
369;"Kimi köprü bulamaz
geçmeye, kimi su bulamaz
içmeye";İnsanların nasipleri arasındaki tutarsızlıkları belirten bir söz.;2;genel;;Korku dağları bekler;Yabancılık çekmek;"Dam üstünde saksağan, vur
beline kazmayı"
370;"Kimse bilmez kim kazana
kim yiye";Bir kimsenin çalışıp çabalayarak kazandığı malı kimi zaman hatır ve hayalde olmayan kişiler yer.;2;genel;;"Hekimden sorma,
çekenden sor";"Uyuyan yılanın kuyruğuna
basma";Yere çalmak
371;Kişi arkadaşından bellidir;Bir kimsenin nasıl bir kişi olduğunu öğrenmek isteyen, arkadaşının kimliğine bakmalıdır.;2;genel;;Ölümü göze almak;İçinden gelmek;"Ağaç meyvesi olunca başını
aşağı salar"
372;"Kişi ne yaparsa kendine
yapar";İyilik yapan iyilik, kötülük yapan kötülük bulur. .;2;genel;;Sevinçten havalara uçmak;"Kulağı ters taraftan
göstermek";Yüz verince astar istemek
373;Kişi refikinden azar;Kötü arkadaş insanı kötü yola sürükler.;2;genel;;"Çocuğun bulunduğu yerde
dedikodu olmaz";Söz vermek;"Karaya sabun, deliye öğüt
neylesin"
374;"Kişinin kendine ettiğini
kimse edemez";Bir kimse kimi zaman tedbirsizliği yüzünden öyle yanlış iş yapar, başını öyle derde sokar ki böyle bir kötülüğü başkaları ona yapamaz.;2;genel;;Vakit öldürmek;Jetonu geç düşmek;Ucu bucağı olmamak
375;"Komşu ekmeği komşuya
borçtur";Komşunuz size bir ikramda bulunur, bir şey armağan ederse siz de ona ikramda bulunmalı, armağan vermelisiniz.     48;2;genel;;Hüsrana uğramak;"İşleyen demir ışıldar pas
tutmaz";Az tamah çok ziyan getirir
376;"Komşu kızı almak, kalaylı
kaptan su içmek gibidir";Komşu kızını almaya karar veren, ailenin ve kızın durumunu, gidişini iyi bildiğinden içi rahat olarak bu ilişkiyi kurar.;2;genel;;İki emini bir yemin aralar;Mahalleyi ayağa kaldırmak;Damlaya damlaya göl olur
377;"Komşu komşunun külüne
muhtaçtır";Komşular en küçük şey için bile birbirlerine muhtaçtırlar.;2;genel;;Ağaçtan maşa olmaz;Arı bal alacak çiçeği bilir;Rahat yüzü görmemek
378;"Komşunu iki inekli iste ki
kendin bir inekli olasın";Başkasının daha iyi durumda olmasını iste ki Tanrı da seni ondursun.;2;genel;;"Sarımsak yemedim ki ağzım
koksun";Yüzünü güldürmek;İki el, bir baş için
379;"Komşunun tavuğu komşuya
kaz görünür";Başka bir kimsenin malı bize olduğundan daha değerli görünür.;2;genel;;Kabak başına patlamak;Bağı ağlayanın yüzü güler;"Kadı anlatışa göre fetva
verir"
380;"Kork Allah’tan
korkmayandan";Tanrı'dan korkmayan kimse, insana her türlü kötülüğü yapabilir.;2;genel;;Boğaz dokuz boğumdur;"Bir kulağından girip öbür
kulağından çıkmak";"Bülbülü altın kafese
koymuşlar, ah vatanım demiş"
381;"Kork aprilin beşinden öküzü
ayırır eşinden";Nisan ayının beşinde çift süren iki öküzü birbirinden ayıracak kadar hava soğuk olur.;2;genel;;Faka basmak;"Işığını akşamdan önce
yakan sabaha çırasına yağ
bulamaz";"Ağaca dayanma kurur,
adama insana dayanma ölür"
382;Korku dağları bekler;Korku her yerde varlığını gösterir.;2;genel;;"Elmanın dibi göl, armudun
dibi yol";"Ak koyunun kara kuzusu da
olur";Yuları ele kaptırmak
383;"Korkunun ecele faydası
yoktur";Kişi korkmakla kendisine gelecek bir kötülüğü önleyemez.     49;2;genel;;"Bacak kadar boyu var,
türlü türlü huyu var";"Mal canı kazanmaz, can
malı kazanır";"Kuş vardır eti yenir, kuş
vardır et yedirilir"
384;Kör görmez sezer;Kör görmediği şeyi nasıl sezerse bir konu üzerinde bilgisi olmayan kişinin de o konu ile ilgili sezişleri olur.;2;genel;;Çıkmadık canda umut var;İbadet de gizli, kabahat de;Daldan dala konmak
385;"Körler memleketinde şaşılar
padişah olur";Hepsi bilgisiz olan bir çevrede azıcık bilgisi bulunan başa geçer.;2;genel;;Gözünü dört açmak;"İki karpuzu bir koltuğa
sığdırmak";Meydana çıkarmak
386;"Kötü komşu insanı hacet
sahibi eder";Kötü komşu kendisinden emanet olarak istenen şeyi vermez, emanet isteyen de gidip o şeyden satın alır.;2;genel;;Zokayı yutmak;"Bir baş soğan bir kazanı
kokutur";Alıcı kuşun ömrü az olur
387;Kuş, kanadına kira istemez;Kişi, kendi işi için zaten harcayacağı çabadan dolayı başkasından karşılık beklemez.;2;genel;;Hallaç pamuğu gibi atmak;İğne ipliğe dönmek;"Her ağacın meyvesi
olmaz"
388;"Kuş vardır eti yenir, kuş
vardır et yedirilir";Öyle kişiler vardır ki acımadan en ağır işte kullanılır, öyle kişiler de vardır ki iş gördürmek şöyle dursun onlara hizmet edilir;2;genel;;Gelen gideni aratır;"Dağ başından duman eksik
olmaz";"Mal sahibi mülk sahibi, hani
bunun ilk sahibi"
389;"Küheylan at, çul içinde de
bellidir";Cevherli insan, kılık kıyafeti düzgün olmasa da değerini yitirmez.;2;genel;;"Arayan Mevla’sını da bulur,
belasını da";Yüz yüzden utanır;Papara yemek
390;"Kürk ile börk ile adam
olunmaz";Kılık kıyafet, değeri olmayan kişiye değer kazandırmaz.;2;genel;;"Dağ dağ üstüne olur, ev ev
üstüne olmaz";Kör görmez sezer;Kürek kadar dili olmak
391;Laf lafı açar;Bir konu üzerinde konuşulurken ilgisi dolayısıyla söz başka bir konuya geçer, sohbet uzar, gider.     50;2;genel;;Paraya para dememek;"Kişi ne yaparsa kendine
yapar";İki emini bir yemin aralar
392;Laf torbaya girmez;Ağızdan çıkan bir söz, artık gizli kalmaz, herkes onu duyar.;2;genel;;"Adamak kolay, ödemek
zordur";Aklına geleni yapmak;Zihnini kurcalamak
393;Lâfla peynir gemisi yürümez;Şöyle yaparım, böyle yaparım demekle yapılması gereken iş yapılmaz.;2;genel;;Nabzına göre şerbet vermek;Tuttuğunu koparmak;Volta atmak
394;"Lokma çiğnemeden
yutulmaz";Her iş emekle yapılır.;2;genel;;"At, adımına göre değil
adamına göre yürür";"Hak deyince akan sular
durur";Mürüvvete endaze olmaz
395;"Lokma karın doyurmaz,
şefaat artırır";Bir kimseye verilen armağan, aradaki sevgiyi artırdığı için değerlidir;2;genel;;Oyuna gelmek;İki el, bir baş için;"Vakitsiz öten horozun başını
keserler
Her söz yerinde ve zamanında
söylenmelidir. Zamansız ve yersiz
söylenen sözler büyük
zararlara yol açabilir.
485-Vermeyince mabut, neylesin
Sultan Mahmut"
396;Mahkeme kadıya mülk değil;Hiç kimse, bulunduğu kamu hizmetinde ömrünün sonuna kadar kalamaz.;2;genel;;Kapıları kapamak;"Ağlar gözden, sahte sözden
kendini sakın";"Büyük başın derdi büyük
olur"
397;"Mal adama hem dost hem
düşmandır";Malın insana yararı olduğu gibi zararı da vardır.;2;genel;;İçi erimek;Açık kapı bırakmak;"Işığını akşamdan önce
yakan sabaha çırasına yağ
bulamaz"
398;"Mal canı kazanmaz, can
malı kazanır";İnsan mal kazanacağım diye sağlığını tehlikeye atmamalıdır.;2;genel;;El için ağlayan gözden olur;Bal tutan parmağını yalar;Ezbere iş görmek
399;Mal canın yongasıdır;İnsan, malına gelen zarardan, canına gelmişçesine acı duyar.;2;genel;;"Ağlayanın malı gülene hayır
etmez";Mürüvvete endaze olmaz;"Bostana dadanan eşeğin
kuyruğu, kulağı olmaz"
400;"Mal da yalan mülk de
yalan, var biraz da sen oyalan";Bu dünya gelip geçicidir, mala mülke fazla değer vermemek gerekir.     51;2;genel;;"Demir tavında dövülür
Her iş zamanında ve uygun
durumda yapılır.
200-Deniz kenarında dalga eksik
olmaz";İç çekmek;Ters tarafından kalkmak
401;"Mal sahibi mülk sahibi, hani
bunun ilk sahibi";Malı mülkü yüzünden kendini üzüntüye kaptırmamak veya malı mülkü ile övünmemek gerektiğini anlatan bir söz.;3;genel;;Ağacın kurdu içinde olur;Pılı pırtıyı toplamak;Kapıları kapamak
402;"Malı ongun olanın adı angın
olur";Malından çok ürün alan kişinin adı her yerde anılır.;3;genel;;"İyiliğe iyilik her kişinin
kârı, kötülüğe iyilik er kişinin
kârı";"Az veren candan, çok veren
maldan";Ağır otur ki bey desinler
403;Malın iyisi boğazdan geçer;Kişinin, yiyemediği malının bir değeri yoktur.;3;genel;;Yaraya merhem olmak;Acı acıyı keser, su sancıyı;Yüzünü kara çıkarmak
404;Mart ayı dert ayı;Mart ayında havalar sık sık değiştiği için insan kendisini koruyamaz ve hasta olur.;3;genel;;"Yavaş atın tekmesi yavuz
olur";"Astar bol olmayınca yüze
gülmez";"Arı söğüdü, akıllı öğüdü
sever"
405;Mart çıkmadıkça dert bitmez;Kış hastalıkları, mart sona ermedikçe bitmez.;3;genel;;Ağız değiştirmek;"Altın eşik gümüş eşiğe muhtaç
olur";Posta koymak
406;"Mart dokuzunda çıra yak,
bağ buda";Mart ayının dokuzunda bağların kesinlikle budanması gerekir, bu iş gündüz yetiştirilemezse gece çıra ışığında yapılmaya değecek kadar önemlidir.;3;genel;;Her boyaya girip çıkmak;Kabuğuna çekilmek;Yaraya merhem olmak
407;"Mart kapıdan baktırır,
kazma kürek yaktırır";Mart ayındaki şiddetli soğuklarda insanlar ellerine geçen her şeyi yakmak zorunda kalırlar.;3;genel;;Para parayı çeker;"Ak gün ağartır, kara gün
karartır";Aralarından kara kedi geçmek
408;Maymun gözünü açtı;Geçen bir olaydan ders alındığını anlatan bir söz.;3;genel;;"Sağ gözünü sol gözünden
sakınmak";Yüz yüzden utanır;Güneş balçıkla sıvanmaz
409;Mızrak çuvala sığmaz;Gizli tutulması imkânsız durumlar karşısında söylenen bir söz.     52;3;genel;;Masrafa girmek;Çoğu zarar, azı karar;"Gözünü daldan budaktan
sakınmamak"
410;Mürüvvete endaze olmaz;Yardım ve iyiliğin sınırı yoktur.;3;genel;;"İşi Allah’a kalmak
Kimsenin kendisine yardım etmediği
bir durumda, çaresiz kalmak.
176-İş başa düşmek";Akacak kan damarda durmaz;Sürüncemede kalmak
411;"Ne dağda bağım var ne
çakaldan davam";Tuttuğum bir taraf yok ki ona saldıranların karşısında olayım.;3;genel;;Parmağında oynatmak;"Kar ne kadar çok yağsa
yaza kalmaz";"Rüzgârlı havanın kuytusu,
yağmurlu havanın uykusu"
412;Ne ekersen onu biçersin;Nasıl davranırsan öyle karşılık görürsün.;3;genel;;"Bülbülü altın kafese
koymuşlar, ah vatanım demiş";İbret almak;"Davul dengi dengine diye
çalar"
413;Ne kokar ne bulaşır;Kimseye iyiliği de dokunmaz, kötülüğü de.;3;genel;;"Eşeğini sağlam kazığa
bağlamak";Malın iyisi boğazdan geçer;Kemer sıkmak
414;Ne od var ne ocak;Yoksulluk ve perişanlık içinde.;3;genel;;"Komşunu iki inekli iste ki
kendin bir inekli olasın";"Ağaç ne kadar uzarsa göğe
ermez";Çul içinde aslan yatar
